Package	Version	RemoteSha
MassSpecWavelet	1.72.1	
Matrix	1.7-4	
MatrixGenerics	1.18.1	
matrixStats	1.5.0	
memoise	2.0.1	
MetaboCoreUtils	1.14.0	
MetaClean	1.0.1	d0ce1bc0b2fe4d17e7e047c8c07c75b81c4e5833
mgcv	1.9-4	
mime	0.13	
miniUI	0.1.2	
MLmetrics	1.1.3	
ModelMetrics	1.2.2.2	
modelr	0.1.11	
MS2Quant	1.1.0	e1f61be6b9bf19860c3c32cf406fc226c58f405a
MS2Tox	0.4.2	39a6d7239be341bc839f3345dee48d07bee8b2d3
MsCoreUtils	1.18.0	
MsExperiment	1.8.0	
MsFeatures	1.14.0	
MSnbase	2.32.0	
MultiAssayExperiment	1.32.0	
MultiDataSet	1.34.0	
mzID	1.44.0	
mzR	2.40.0	
ncdf4	1.24	
nlme	3.1-168	
nnet	7.3-20	
nontarget	2.2	bfdd56cdeba389ef40fe35ad2465564a375566ed
nontargetData	1.1	75b2a92cd549f72cc71dfe7b86bd42947d62f2c4
numDeriv	2016.8-1.1	
openssl	2.3.4	
otel	0.2.0	
parallelly	1.45.1	
patRoon	2.3.4	5fe504368643ddcf42127a97f693a11bcc460c42
pcaMethods	1.98.0	
permute	0.9-8	
pillar	1.11.1	
pkgconfig	2.0.3	
plogr	0.2.0	
plotly	4.11.0	
plotrix	3.8-4	
plyr	1.8.9	
png	0.1-8	
preprocessCore	1.68.0	
prettyunits	1.2.0	
pROC	1.19.0.1	
processx	3.8.6	
prodlim	2025.04.28	
progress	1.2.3	
progressr	0.18.0	
promises	1.5.0	
ProtGenerics	1.38.0	
proxy	0.4-27	
ps	1.9.1	
PSMatch	1.10.0	
purrr	1.2.0	
qap	0.1-2	
QFeatures	1.16.0	
qlcMatrix	0.9.9	
qqman	0.1.9	
questionr	0.8.1	
R.cache	0.17.0	
R.methodsS3	1.8.2	
R.oo	1.27.1	
R.utils	2.13.0	
R6	2.6.1	
ragg	1.5.0	
RAMClustR	1.3.2	1c1d448c2f1f5508acffcc51358be0ae844d1dda
randomForest	4.7-1.2	
rapidjsonr	1.2.0	
rappdirs	0.3.3	
RBGL	1.82.0	
rbibutils	2.4	
rcdk	3.8.1	
rcdklibs	2.9	
RColorBrewer	1.1-3	
Rcpp	1.1.0	
RcppArmadillo	15.0.2-2	
RDCOMClient	0.95-1	1554833f8659461427a93732119756ae1c25bc32
Rdisop	1.66.0	
Rdpack	2.6.4	
reactable	0.4.4	
reactR	0.6.1	
readMzXmlData	2.8.4	
readr	2.1.5	
readxl	1.4.5	
recipes	1.3.1	
registry	0.5-1	
rematch	2.0.0	
rematch2	2.1.2	
reprex	2.1.1	
reshape2	1.4.4	
Rgraphviz	2.50.0	
rhandsontable	0.3.8	
Rhdf5lib	1.28.0	
rJava	1.0-11	
rlang	1.1.6	
rlist	0.4.6.2	
rmarkdown	2.30	
ROCR	1.0-11	
ropls	1.38.0	
rpart	4.1.24	
rprojroot	2.1.1	
rsm	2.10.6	
RSQLite	2.4.4	
rstudioapi	0.17.1	
rvest	1.0.5	
S4Arrays	1.6.0	
S4Vectors	0.44.0	
S7	0.2.0	
sass	0.4.10	
scales	1.4.0	
selectr	0.4-2	
seriation	1.5.8	
shape	1.4.6.1	
shiny	1.11.1	
shinyjs	2.1.0	
slam	0.1-55	
snow	0.4-4	
sourcetools	0.1.7-1	
SparseArray	1.6.2	
sparsesvd	0.2-3	
sparsevctrs	0.3.4	
Spectra	1.16.1	
splashR	0.0.4	174fbf289a0357535f9bacda282b9a2dbb7807cc
SQUAREM	2021.1	
statmod	1.5.1	
stringi	1.8.7	
stringr	1.6.0	
styler	1.11.0	
SummarizedExperiment	1.36.0	
survival	3.8-3	
svglite	2.2.2	
sys	3.4.3	
systemfonts	1.3.1	
textshaping	1.0.4	
tibble	3.3.0	
tidyr	1.3.1	
tidyselect	1.2.1	
tidyverse	2.0.0	
timechange	0.3.0	
timeDate	4051.111	
tinytex	0.57	
TSP	1.2-5	
tzdb	0.5.0	
UCSC.utils	1.2.0	
UpSetR	1.4.0	
utf8	1.2.6	
uuid	1.2-1	
vctrs	0.6.5	
vegan	2.7-2	
VennDiagram	1.7.3	
viridis	0.6.5	
viridisLite	0.4.2	
visNetwork	2.1.4	
vroom	1.6.6	
vsn	3.74.0	
webshot	0.5.5	
withr	3.0.2	
xcms	4.4.0	
xfun	0.54	
xgboost	1.7.11.1	
XML	3.99-0.20	
xml2	1.4.1	
xtable	1.8-4	
XVector	0.46.0	
yaml	2.3.10	
zlibbioc	1.52.0	
